TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,ACC_X,ACC_Y,ACC_Z,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT,SENSOR EVENT
0.87,337449,635426,325186,,,,,,,,,,,,,,,,,,,,,,,
0.875,337446,635421,325236,,,,,,,,,,,,,,,,,,,,,,,
0.88,337461,635441,325217,,,,,,,,,,,,,,,,,,,,,,,
0.885,337456,635435,325202,,,,,,,,,,,,,,,,,,,,,,,
0.89,337459,635433,325196,,,,,,,,,,,,,,,,,,,,,,,
0.894123,,,,481,-95,1921,,,,,,,,,,,,,,,,,,,,
0.895,337447,635436,325187,,,,,,,,,,,,,,,,,,,,,,,
0.9,337459,635452,325220,,,,,,,,,,,,,,,,,,,,,,,
0.905,337440,635433,325155,,,,,,,,,,,,,,,,,,,,,,,
0.91,337447,635445,325162,,,,,,,,,,,,,,,,,,,,,,,
0.915,337450,635462,325176,,,,,,,,,,,,,,,,,,,,,,,
0.92,337452,635491,325196,,,,,,,,,,,,,,,,,,,,,,,
0.925,337452,635555,325285,,,,,,,,,,,,,,,,,,,,,,,
0.93,337446,635608,325305,,,,,,,,,,,,,,,,,,,,,,,
0.935,337458,635668,325343,,,,,,,,,,,,,,,,,,,,,,,
0.94,337461,635713,325418,,,,,,,,,,,,,,,,,,,,,,,
0.945,337449,635748,325424,,,,,,,,,,,,,,,,,,,,,,,
0.95,337455,635802,325457,,,,,,,,,,,,,,,,,,,,,,,
0.955,337460,635843,325486,,,,,,,,,,,,,,,,,,,,,,,
0.96,337453,635868,325532,,,,,,,,,,,,,,,,,,,,,,,
0.965,337449,635914,325548,,,,,,,,,,,,,,,,,,,,,,,
0.97,337447,635943,325547,,,,,,,,,,,,,,,,,,,,,,,
0.975,337453,635958,325560,,,,,,,,,,,,,,,,,,,,,,,
